Date,Open,High,Low,Close,Volume,Adjusted
2022-03-01,22739.839844,22937.560547,22591.730469,22761.710938,1796043100,22761.710938
2022-03-02,22568.359375,22712.439453,22299.140625,22343.919922,2227896000,22343.919922
2022-03-03,22434.259766,22543.419922,22378.109375,22467.339844,1937725100,22467.339844
2022-03-04,21879.130859,22017.939453,21838.990234,21905.289063,2438205000,21905.289063
2022-03-07,21308.900391,21327.189453,20826.359375,21057.630859,3322870000,21057.630859
2022-03-08,21082.390625,21303.519531,20638.949219,20765.869141,3231989700,20765.869141
2022-03-09,20820.019531,20957.720703,20102.570313,20627.710938,3674580900,20627.710938
2022-03-10,21106.570313,21114.439453,20709.619141,20890.259766,2694330600,20890.259766
2022-03-11,20460.029297,20778.859375,20079.150391,20553.789063,3019997500,20553.789063
2022-03-14,20203.839844,20203.839844,19416.779297,19531.660156,4096127300,19531.660156
2022-03-15,18931.179688,19392.689453,18235.480469,18415.080078,6012760100,18415.080078
2022-03-16,18956.019531,20120.849609,18584.039063,20087.5,5501050500,20087.5
2022-03-17,21430.710938,21501.230469,20786.689453,21501.230469,4826218000,21501.230469
2022-03-18,21232.880859,21646.150391,20922.369141,21412.400391,4590509200,21412.400391
2022-03-21,21823.070313,21823.070313,21096.310547,21221.339844,2340034100,21221.339844
2022-03-22,21319.189453,21906.320313,21266.900391,21889.279297,2590383300,21889.279297
2022-03-23,22088.789063,22423.509766,21983.099609,22154.080078,2835723800,22154.080078
2022-03-24,22002.869141,22231.669922,21900.130859,21945.949219,2404819800,21945.949219
2022-03-25,21735.609375,21944.080078,21289.259766,21404.880859,2358152600,21404.880859
2022-03-28,21422.199219,21790.970703,21202.689453,21684.970703,2200278800,21684.970703
2022-03-29,21771.289063,21937.269531,21722.169922,21927.630859,2259328100,21927.630859
2022-03-30,22101.630859,22391.349609,22033.779297,22232.029297,2729645500,22232.029297
2022-03-31,22262.160156,22262.160156,21922.580078,21996.849609,2226286300,21996.849609
2022-04-01,21693.099609,22039.550781,21558.050781,22039.550781,1937497800,22039.550781
2022-04-04,22227.109375,22523.640625,22124.029297,22502.310547,1868076200,22502.310547
2022-04-06,22220.210938,22244.990234,22015.119141,22080.519531,2749772600,22080.519531
2022-04-07,21910.400391,22236.929688,21779.189453,21808.980469,2078973200,21808.980469
2022-04-08,21667.529297,21872.009766,21568.220703,21872.009766,1739886100,21872.009766
2022-04-11,21688.029297,21688.029297,21132.539063,21208.300781,2104906000,21208.300781
